CODE_LOGIN;LOGIN;NOM_PRENOM;PROFIL;DATE_CREATION;ETAT_USER;DATE_DESACTIVATION;DATE_DERNIERE_CONNECTION_1;SITE_AGENCE
10000;user00000000;Jean Dupont;PROFIL_A;14/09/2016;DESACTIVE;06/03/2022 00:00:00;26/11/2024;Agence Alpha
10001;user00000001;Marie Martin;PROFIL_B;28/10/2015;ACTIF;;22/10/2023;Agence Beta
10002;user00000002;Paul Bernard;PROFIL_C;19/08/2016;ACTIF;;15/04/2022;Agence Gamma
10003;user00000003;Sophie Thomas;PROFIL_D;15/05/2020;DESACTIVE;22/05/2023 00:00:00;01/11/2023;Agence Delta
10004;user00000004;Lucas Petit;PROFIL_A;03/03/2019;ACTIF;;19/06/2023;Siege
10005;user00000005;Emma Leroy;PROFIL_B;14/11/2017;ACTIF;;15/05/2024;Agence Alpha
10006;user00000006;Noah Moreau;PROFIL_C;07/05/2021;DESACTIVE;19/07/2022 00:00:00;04/08/2023;Agence Beta
10007;user00000007;Chloé Laurent;PROFIL_D;10/10/2017;ACTIF;;01/05/2024;Agence Gamma
10008;user00000008;Liam Simon;PROFIL_A;13/11/2021;ACTIF;;19/01/2023;Agence Delta
10009;user00000009;Jade Michel;PROFIL_B;25/11/2021;DESACTIVE;27/08/2024 00:00:00;20/01/2024;Siege
10010;user00000010;Jean Dupont;PROFIL_C;20/04/2017;ACTIF;;21/04/2023;Agence Alpha
10011;user00000011;Marie Martin;PROFIL_D;09/10/2016;ACTIF;;25/12/2024;Agence Beta
10012;user00000012;Paul Bernard;PROFIL_A;27/11/2020;DESACTIVE;02/11/2024 00:00:00;04/11/2022;Agence Gamma
10013;user00000013;Sophie Thomas;PROFIL_B;02/08/2017;ACTIF;;24/06/2024;Agence Delta
10014;user00000014;Lucas Petit;PROFIL_C;10/02/2016;ACTIF;;14/12/2023;Siege
10015;user00000015;Emma Leroy;PROFIL_D;05/04/2016;DESACTIVE;27/05/2024 00:00:00;17/06/2024;Agence Alpha
10016;user00000016;Noah Moreau;PROFIL_A;27/05/2016;ACTIF;;24/05/2023;Agence Beta
10017;user00000017;Chloé Laurent;PROFIL_B;26/06/2021;ACTIF;;03/08/2022;Agence Gamma
10018;user00000018;Liam Simon;PROFIL_C;28/04/2016;DESACTIVE;12/09/2023 00:00:00;22/12/2024;Agence Delta
10019;user00000019;Jade Michel;PROFIL_D;01/07/2015;ACTIF;;04/09/2023;Siege
10020;user00000020;Jean Dupont;PROFIL_A;22/06/2018;ACTIF;;09/11/2024;Agence Alpha
10021;user00000021;Marie Martin;PROFIL_B;27/07/2019;DESACTIVE;16/04/2024 00:00:00;04/06/2024;Agence Beta
10022;user00000022;Paul Bernard;PROFIL_C;18/10/2015;ACTIF;;08/10/2023;Agence Gamma
10023;user00000023;Sophie Thomas;PROFIL_D;21/02/2020;ACTIF;;10/12/2023;Agence Delta
10024;user00000024;Lucas Petit;PROFIL_A;04/07/2020;DESACTIVE;04/08/2023 00:00:00;02/01/2022;Siege
10025;user00000025;Emma Leroy;PROFIL_B;18/04/2015;ACTIF;;15/07/2022;Agence Alpha
10026;user00000026;Noah Moreau;PROFIL_C;24/11/2017;ACTIF;;14/09/2024;Agence Beta
10027;user00000027;Chloé Laurent;PROFIL_D;24/12/2019;DESACTIVE;20/08/2022 00:00:00;21/07/2022;Agence Gamma
10028;user00000028;Liam Simon;PROFIL_A;02/05/2018;ACTIF;;07/06/2024;Agence Delta
10029;user00000029;Jade Michel;PROFIL_B;08/08/2018;ACTIF;;22/02/2023;Siege
10030;user00000030;Jean Dupont;PROFIL_C;21/09/2017;DESACTIVE;04/04/2023 00:00:00;13/01/2023;Agence Alpha
10031;user00000031;Marie Martin;PROFIL_D;03/08/2021;ACTIF;;21/04/2024;Agence Beta
10032;user00000032;Paul Bernard;PROFIL_A;01/10/2020;ACTIF;;08/06/2022;Agence Gamma
10033;user00000033;Sophie Thomas;PROFIL_B;07/10/2016;DESACTIVE;27/04/2024 00:00:00;07/09/2022;Agence Delta
10034;user00000034;Lucas Petit;PROFIL_C;11/04/2021;ACTIF;;01/10/2022;Siege
10035;user00000035;Emma Leroy;PROFIL_D;05/03/2017;ACTIF;;26/05/2024;Agence Alpha
10036;user00000036;Noah Moreau;PROFIL_A;22/02/2016;DESACTIVE;19/04/2023 00:00:00;01/03/2022;Agence Beta
10037;user00000037;Chloé Laurent;PROFIL_B;06/01/2017;ACTIF;;05/01/2023;Agence Gamma
10038;user00000038;Liam Simon;PROFIL_C;17/07/2020;ACTIF;;03/12/2022;Agence Delta
10039;user00000039;Jade Michel;PROFIL_D;25/08/2018;DESACTIVE;17/08/2022 00:00:00;19/09/2023;Siege
10040;user00000040;Jean Dupont;PROFIL_A;02/10/2016;ACTIF;;17/11/2024;Agence Alpha
10041;user00000041;Marie Martin;PROFIL_B;21/08/2017;ACTIF;;16/01/2022;Agence Beta
10042;user00000042;Paul Bernard;PROFIL_C;14/07/2021;DESACTIVE;03/08/2024 00:00:00;16/02/2024;Agence Gamma
10043;user00000043;Sophie Thomas;PROFIL_D;20/06/2015;ACTIF;;05/02/2022;Agence Delta
10044;user00000044;Lucas Petit;PROFIL_A;21/10/2017;ACTIF;;23/09/2024;Siege
10045;user00000045;Emma Leroy;PROFIL_B;20/07/2017;DESACTIVE;14/10/2024 00:00:00;15/05/2024;Agence Alpha
10046;user00000046;Noah Moreau;PROFIL_C;04/12/2015;ACTIF;;25/11/2024;Agence Beta
10047;user00000047;Chloé Laurent;PROFIL_D;28/12/2019;ACTIF;;15/07/2022;Agence Gamma
10048;user00000048;Liam Simon;PROFIL_A;11/07/2016;DESACTIVE;11/02/2024 00:00:00;14/07/2023;Agence Delta
10049;user00000049;Jade Michel;PROFIL_B;22/06/2018;ACTIF;;05/06/2023;Siege
10050;user00000050;Jean Dupont;PROFIL_C;03/08/2020;ACTIF;;03/02/2022;Agence Alpha
10051;user00000051;Marie Martin;PROFIL_D;24/02/2018;DESACTIVE;02/09/2022 00:00:00;26/06/2024;Agence Beta
10052;user00000052;Paul Bernard;PROFIL_A;18/09/2019;ACTIF;;04/11/2023;Agence Gamma
10053;user00000053;Sophie Thomas;PROFIL_B;28/06/2018;ACTIF;;28/07/2024;Agence Delta
10054;user00000054;Lucas Petit;PROFIL_C;10/01/2020;DESACTIVE;17/10/2022 00:00:00;12/05/2024;Siege
10055;user00000055;Emma Leroy;PROFIL_D;22/03/2016;ACTIF;;28/04/2023;Agence Alpha
10056;user00000056;Noah Moreau;PROFIL_A;28/06/2015;ACTIF;;04/06/2024;Agence Beta
10057;user00000057;Chloé Laurent;PROFIL_B;19/05/2021;DESACTIVE;20/10/2024 00:00:00;28/07/2022;Agence Gamma
10058;user00000058;Liam Simon;PROFIL_C;18/11/2020;ACTIF;;22/10/2022;Agence Delta
